Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit
Unnamed,RU,248,2,95.106.65.176,95.106.65.176,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
Unnamed,US,6,4,69.61.223.138,STATIC-ASSIGNMENTS-69-61-223-138.fuse.net,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows XP Service Pack 3 [workstation],0,0
Unnamed,GB,44,18,109.107.35.154,cip-109-107-35-154.gb1.brightbox.com,443,80,0,1,1,0,0,1,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
Unnamed,NL,10,2,83.163.62.25,a83-163-62-25.adsl.xs4all.nl,443,None,0,1,1,0,0,0,1,1,0,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Linux i686,0,0
Unnamed,US,43,0,173.79.73.71,pool-173-79-73-71.washdc.fios.verizon.net,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows Vista Service Pack 2 [workstation],0,0
Unnamed,FR,17,0,78.116.106.28,28.106.116.78.rev.sfr.net,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.1.30 on Windows 'Longhorn' Service Pack 2 [workstation] {personal} {terminal services- single user},0,0
Unnamed,RU,7,1,79.139.128.238,ppp79-139-128-238.pppoe.spdop.ru,443,22,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on FreeBSD amd64,0,0
Unnamed,DE,1,0,109.90.78.157,ip-109-90-78-157.unitymediagroup.de,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,SE,655,2,80.217.231.103,c80-217-231-103.bredband.comhem.se,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Darwin x86_64,0,0
Unnamed,PL,3,1,212.87.227.187,dhcp187.wip.pcz.pl,443,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7  [workstation],0,0
Unnamed,NL,0,0,95.96.108.199,095-096-108-199.static.chello.nl,443,None,0,1,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7  [workstation],0,0
Unnamed,BR,0,0,164.41.103.153,164.41.103.153,443,None,0,1,0,0,0,0,1,1,0,Tor 0.2.1.30 on Windows XP Service Pack 3 [workstation] {terminal services- single user},0,1
Unnamed,FR,4,0,78.224.101.61,ort64-1-78-224-101-61.fbx.proxad.net,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.33 (git-8522652d8e9213d4) on Windows 7  [workstation],0,0
